,Album,Artist,Country,Genre,Name,Rank,Source,Translated Genre
0,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel & AURORA,Hong Kong,原聲帶,Into the Unknown,1.0,Apple,Soundtrack
1,Señorita - Single,Shawn Mendes & Camila Cabello,Hong Kong,流行樂,Señorita,2.0,Apple,Pop
2,說好不哭 - Single,周杰倫 & 阿信,Hong Kong,國語流行樂,說好不哭,3.0,Apple,Pop
3,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel & Evan Rachel Wood,Hong Kong,原聲帶,Show Yourself,4.0,Apple,Soundtrack
4,Memories - Single,魔力紅樂團,Hong Kong,流行樂,Memories,5.0,Apple,Pop
5,Dance Monkey - Single,Tones and I,Netherlands,Alternative,Dance Monkey,1.0,Apple,Alternative
6,Merry Christmas,Mariah Carey,Netherlands,Feestdagen,All I Want For Christmas Is You,2.0,Apple,Holidays
7,Last Christmas - Single,Wham!,Netherlands,Feestdagen,Last Christmas (Single Version),3.0,Apple,Holidays
8,Blinding Lights - Single,The Weeknd,Netherlands,R&B/Soul,Blinding Lights,4.0,Apple,R&B/Soul
9,everything i wanted - Single,Billie Eilish,Netherlands,Alternative,everything i wanted,5.0,Apple,Alternative
10,Dance Monkey - Single,Tones and I,Australia,Pop,Dance Monkey,1.0,Apple,Pop
11,Don't Start Now - Single,Dua Lipa,Australia,Pop,Don't Start Now,2.0,Apple,Pop
12,Ride It - Single,Regard,Australia,Dance,Ride It,3.0,Apple,Dance
13,The Kids Are Coming - EP,Tones and I,Australia,Alternative,Never Seen the Rain,4.0,Apple,Alternative
14,ROXANNE - Single,Arizona Zervas,Australia,Hip-Hop/Rap,ROXANNE,5.0,Apple,Hip-Hop/Rap
15,Dance Monkey - Single,Tones and I,Canada,Alternative,Dance Monkey,1.0,Apple,Alternative
16,ROXANNE - Single,Arizona Zervas,Canada,Hip-Hop/Rap,ROXANNE,2.0,Apple,Hip-Hop/Rap
17,Blinding Lights - Single,The Weeknd,Canada,R&B/Soul,Blinding Lights,3.0,Apple,R&B/Soul
18,Heartless - Single,The Weeknd,Canada,R&B/Soul,Heartless,4.0,Apple,R&B/Soul
19,Merry Christmas,Mariah Carey,Canada,Holiday,All I Want For Christmas Is You,5.0,Apple,Holiday
20,Zone 59,Gradur,France,Hip-hop/Rap,Ne reviens pas (feat. Heuss L'enfoiré),1.0,Apple,Hip-hop/Rap
21,Rooftop,SCH,France,Hip-hop/Rap,Mayday (feat. Ninho),2.0,Apple,Hip-hop/Rap
22,NAKAMURA (Deluxe Edition),Aya Nakamura,France,R&B/Soul,40%,3.0,Apple,R&B/Soul
23,The Kids Are Coming - EP,Tones and I,France,Alternative,Dance Monkey,4.0,Apple,Alternative
24,C'est pas des LOL,Jul,France,Hip-hop/Rap,Mon bébé d'amour,5.0,Apple,Hip-hop/Rap
25,Pretender - Single,Official髭男dism,Japan,J-Pop,Pretender,1.0,Apple,J-Pop
26,白日 - Single,King Gnu,Japan,オルタナティブ,白日,2.0,Apple,Alternative
27,宿命 - Single,Official髭男dism,Japan,J-Pop,宿命,3.0,Apple,J-Pop
28,Traveler,Official髭男dism,Japan,J-Pop,イエスタデイ,4.0,Apple,J-Pop
29,瞬間的シックスセンス,あいみょん,Japan,J-Pop,マリーゴールド,5.0,Apple,J-Pop
30,Dance Monkey - Single,Tones and I,UK,Alternative,Dance Monkey,1.0,Apple,Alternative
31,Heavy Is The Head,Stormzy,UK,Hip-Hop/Rap,Own It (feat. Ed Sheeran & Burna Boy),2.0,Apple,Hip-Hop/Rap
32,Merry Christmas,Mariah Carey,UK,Christmas,All I Want For Christmas Is You,3.0,Apple,Christmas
33,Twenty Five,Wham!,UK,Pop,Last Christmas,4.0,Apple,Pop
34,Divinely Uninspired To a Hellish Extent (Extended Edition),Lewis Capaldi,UK,Alternative,Before You Go,5.0,Apple,Alternative
35,NIMORIGINAL,Nimo & Hava,Germany,Hip-Hop/Rap,KEIN SCHLAF,1.0,Apple,Hip-Hop/Rap
36,COLT - Single,Samra,Germany,Hip-Hop/Rap,COLT,2.0,Apple,Hip-Hop/Rap
37,Platte,Apache 207,Germany,Hip-Hop/Rap,Roller,3.0,Apple,Hip-Hop/Rap
38,Dance Monkey - Single,Tones and I,Germany,Alternative,Dance Monkey,4.0,Apple,Alternative
39,Der Bratan bleibt der gleiche - Single,Capital Bra,Germany,Hip-Hop/Rap,Der Bratan bleibt der gleiche,5.0,Apple,Hip-Hop/Rap
40,Please Excuse Me For Being Antisocial,Roddy Ricch,US,Hip-Hop/Rap,The Box,1.0,Apple,Hip-Hop/Rap
41,Please Excuse Me For Being Antisocial,Roddy Ricch,US,Hip-Hop/Rap,Start wit Me (feat. Gunna),2.0,Apple,Hip-Hop/Rap
42,Please Excuse Me For Being Antisocial,Roddy Ricch,US,Hip-Hop/Rap,Peta (feat. Meek Mill),3.0,Apple,Hip-Hop/Rap
43,Please Excuse Me For Being Antisocial,Roddy Ricch,US,Hip-Hop/Rap,Tip Toe (feat. A Boogie wit da Hoodie),4.0,Apple,Hip-Hop/Rap
44,Woah - Single,Lil Baby,US,Hip-Hop/Rap,Woah,5.0,Apple,Hip-Hop/Rap
0,25,Adele,Hong Kong,Pop,Hello,1.0,LastFM,
1,Beauty Behind the Madness,The Weeknd,Hong Kong,R&B/Soul,Can't Feel My Face,2.0,LastFM,
2,x,Ed Sheeran,Hong Kong,Pop,Photograph,3.0,LastFM,
3,x,Ed Sheeran,Hong Kong,Pop,Thinking Out Loud,4.0,LastFM,
4,÷ (Deluxe),Ed Sheeran,Hong Kong,Pop,Shape of You,5.0,LastFM,
5,Toto IV,Toto,Netherlands,Rock,Africa,1.0,LastFM,
6,Dire Straits,Dire Straits,Netherlands,Rock,Sultans of Swing,2.0,LastFM,
7,25,Adele,Netherlands,Pop,Hello,3.0,LastFM,
8,Nevermind,Nirvana,Netherlands,Rock,Smells Like Teen Spirit,4.0,LastFM,
9,(What's the Story) Morning Glory?,Oasis,Netherlands,Alternative,Wonderwall,5.0,LastFM,
10,Currents,Tame Impala,Australia,Alternative,The Less I Know the Better,1.0,LastFM,
11,Hot Fuss,The Killers,Australia,Rock,Mr. Brightside,2.0,LastFM,
12,Beauty Behind the Madness,The Weeknd,Australia,R&B/Soul,Can't Feel My Face,3.0,LastFM,
13,Views,Drake,Australia,Hip-Hop/Rap,Hotline Bling,4.0,LastFM,
14,Currents,Tame Impala,Australia,Alternative,Let It Happen,5.0,LastFM,
15,Beauty Behind the Madness,The Weeknd,Canada,R&B/Soul,Can't Feel My Face,1.0,LastFM,
16,Views,Drake,Canada,Hip-Hop/Rap,Hotline Bling,2.0,LastFM,
17,Hot Fuss,The Killers,Canada,Rock,Mr. Brightside,3.0,LastFM,
18,Nevermind,Nirvana,Canada,Rock,Smells Like Teen Spirit,4.0,LastFM,
19,Currents,Tame Impala,Canada,Alternative,The Less I Know the Better,5.0,LastFM,
20,Nevermind,Nirvana,France,Rock,Smells Like Teen Spirit,1.0,LastFM,
21,Pablo Honey,Radiohead,France,Alternative,Creep,2.0,LastFM,
22,Zanaka,Jain,France,Pop,Come,3.0,LastFM,
23,(What's the Story) Morning Glory?,Oasis,France,Alternative,Wonderwall,4.0,LastFM,
24,OK Computer,Radiohead,France,Alternative,Karma Police,5.0,LastFM,
25,ハチミツ,スピッツ,Japan,Pop,ロビンソン,1.0,LastFM,
26,花束を君に,宇多田ヒカル,Japan,J-Pop,花束を君に,2.0,LastFM,
27,新宝島,サカナクション,Japan,Rock,新宝島,3.0,LastFM,
28,ソルファ,ASIAN KUNG-FU GENERATION,Japan,Anime,リライト,4.0,LastFM,
29,Hikaru Utada Laughter in the Dark Tour 2018,宇多田ヒカル,Japan,Hip-Hop/Rap,道,5.0,LastFM,
30,Hot Fuss,The Killers,UK,Rock,Mr. Brightside,1.0,LastFM,
31,Toto IV,Toto,UK,Rock,Africa,2.0,LastFM,
32,Merry Christmas,Mariah Carey,UK,Holiday,All I Want for Christmas Is You,3.0,LastFM,
33,Nevermind,Nirvana,UK,Rock,Smells Like Teen Spirit,4.0,LastFM,
34,Elephant,The White Stripes,UK,Alternative,Seven Nation Army,5.0,LastFM,
35,Nevermind,Nirvana,Germany,Rock,Smells Like Teen Spirit,1.0,LastFM,
36,Toto IV,Toto,Germany,Rock,Africa,2.0,LastFM,
37,Hot Fuss,The Killers,Germany,Rock,Mr. Brightside,3.0,LastFM,
38,Nevermind,Nirvana,Germany,Rock,Come as You Are,4.0,LastFM,
39,25,Adele,Germany,Pop,Hello,5.0,LastFM,
40,Beauty Behind the Madness,The Weeknd,US,R&B/Soul,Can't Feel My Face,1.0,LastFM,
41,Views,Drake,US,Hip-Hop/Rap,Hotline Bling,2.0,LastFM,
42,Currents,Tame Impala,US,Alternative,The Less I Know the Better,3.0,LastFM,
43,Hot Fuss,The Killers,US,Rock,Mr. Brightside,4.0,LastFM,
44,25,Adele,US,Pop,Hello,5.0,LastFM,
0,,,Germany,,KEIN SCHLAF,,,
1,,,Germany,,COLT,,,
2,,,Germany,,Roller,,,
3,,,Germany,,Dance Monkey,,,
4,,,Germany,,Der Bratan bleibt der gleiche,,,
5,,,Netherlands,,Dance Monkey,,,
6,,,Netherlands,,Pa Olvidarte,,,
7,,,Netherlands,,All I Want for Christmas Is You,,,
8,,,Netherlands,,ROXANNE,,,
9,,,Netherlands,,Memories,,,
10,,,Australia,,Dance Monkey,,,
11,,,Australia,,ROXANNE,,,
12,,,Australia,,Circles,,,
13,,,Australia,,Don't Start Now,,,
14,,,Australia,,Memories,,,
15,,,Japan,,Pretender,,,
16,,,Japan,,Hakujitsu,,,
17,,,Japan,,宿命,,,
18,,,Japan,,イエスタデイ,,,
19,,,Japan,,ノーダウト,,,
20,,,France,,Ne reviens pas,,,
21,,,France,,Dance Monkey,,,
22,,,France,,Popopop,,,
23,,,France,,Mayday (feat. Ninho),,,
24,,,France,,Hé oh,,,
25,,,US,,ROXANNE,,,
26,,,US,,Circles,,,
27,,,US,,Heartless,,,
28,,,US,,All I Want for Christmas Is You,,,
29,,,US,,Adore You,,,
30,,,UK,,All I Want for Christmas Is You,,,
31,,,UK,,Last Christmas,,,
32,,,UK,,Dance Monkey,,,
33,,,UK,,Rockin' Around The Christmas Tree,,,
34,,,UK,,It's Beginning to Look a Lot like Christmas,,,
35,,,Canada,,Dance Monkey,,,
36,,,Canada,,ROXANNE,,,
37,,,Canada,,All I Want for Christmas Is You,,,
38,,,Canada,,Heartless,,,
39,,,Canada,,Circles,,,
40,,,Hong,,Señorita,,,
41,,,Hong,,Memories,,,
42,,,Hong,,Circles,,,
43,,,Hong,,everything i wanted,,,
44,,,Hong,,Dance Monkey,,,
