Country,Name,Artist,Album,Spotify ID
Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,7n2wHs1TKAczGzO7Dd2rGr
Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),0LyfQWJT6nXafLPZqxe9Of
Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,2elBjNSdBE2Y3f0j1mjrql
Hong Kong,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",6qqNVTkY8uBg9cP3Jd7DAH
Hong Kong,句號,G.E.M. 鄧紫棋,句號 - Single,7aRC4L63dBn3CiLDuWaLSI
Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,2NjfBq1NflQcKSeiDooVjY
Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,6qqNVTkY8uBg9cP3Jd7DAH
Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,1Xyo4u8uXC1ZmMpatF05PJ
Netherlands,Memories,Maroon 5,Memories - Single,04gDigrS5kc9YWfZHwBETP
Netherlands,Don't Start Now,Dua Lipa,Don't Start Now - Single,6M2wZ9GZgrQXHCFfjv46we
Russia,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,Увезите меня на Дип-хаус - Single,0xTdDjeCoM89b7n9fLcZvR
Russia,Любимка,NILETTO,Любимка - Single,7wHvox8DtmBBPpDFRVURv4
Russia,Комета,JONY,Комета - Single,2ISiyx4DLCMAMBCvPesCoq
Russia,Dance Monkey,Tones and I,The Kids Are Coming - EP,2NjfBq1NflQcKSeiDooVjY
Russia,Blinding Lights,The Weeknd,Blinding Lights - Single,1Xyo4u8uXC1ZmMpatF05PJ
Australia,Dance Monkey,Tones and I,Dance Monkey - Single,2NjfBq1NflQcKSeiDooVjY
Australia,Ride It,Regard,Ride It - Single,4ofCBoyEiGSePFAG500xev
Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,6M2wZ9GZgrQXHCFfjv46we
Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,0vRvGUQVUjytro0xpb26bs
Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,2NjfBq1NflQcKSeiDooVjY
Canada,Dance Monkey,Tones and I,Dance Monkey - Single,2NjfBq1NflQcKSeiDooVjY
Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,1Xyo4u8uXC1ZmMpatF05PJ
Canada,Heartless,The Weeknd,Heartless - Single,1Xyo4u8uXC1ZmMpatF05PJ
Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,0vRvGUQVUjytro0xpb26bs
Canada,Falling,Trevor Daniel,Falling - Single,7uaIm6Pw7xplS8Dy06V6pT
France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,2tcoLkA9Hexz70Kuc1NTUl
France,Mayday (feat. Ninho),SCH,Rooftop,2kXKa3aAFngGz2P4GjG5w2
France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),0c173mlxpT3dSFRgMO8XPh
France,Dance Monkey,Tones and I,The Kids Are Coming - EP,2NjfBq1NflQcKSeiDooVjY
France,R.A.C.,SCH,Rooftop,2kXKa3aAFngGz2P4GjG5w2
Japan,Pretender,Official髭男dism,Pretender - Single,7jy3rLJdDQY21OgRLCZ9sD
Japan,白日,King Gnu,白日 - Single,0g1Asm2LdQJa6EjUmucdxt
Japan,宿命,Official髭男dism,宿命 - Single,2dw80Uni5l7wd9zZFn7Ltu
Japan,イエスタデイ,Official髭男dism,Traveler,32JdSojKzwcl2WVdvI9EHp
Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,5kVZa4lFUmAQlBogl1fkd6
England,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,2SrSdSvpminqmStGELCSNd
England,Dance Monkey,Tones and I,Dance Monkey - Single,2NjfBq1NflQcKSeiDooVjY
England,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),4GNC7GD6oZMSxPGyXy4MNB
England,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,4iHNK0tOyZPYnBU7nGAgpQ
England,Don't Start Now,Dua Lipa,Don't Start Now - Single,6M2wZ9GZgrQXHCFfjv46we
Denmark,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,4WZGDpNwrC0vNQyl9QzF7d
Denmark,Roller,Apache 207,Platte,4O15NlyKLIASxsJ0PrXPfz
Denmark,Dance Monkey,Tones and I,Dance Monkey - Single,2NjfBq1NflQcKSeiDooVjY
Denmark,Wieso tust Du dir das an?,Apache 207,Platte,1qQLhymHXFPtP5U8KNKsm6
Denmark,Blinding Lights,The Weeknd,Blinding Lights - Single,1Xyo4u8uXC1ZmMpatF05PJ
United States,Heartless,The Weeknd,Heartless - Single,1Xyo4u8uXC1ZmMpatF05PJ
United States,Woah,Lil Baby,Woah - Single,5f7VJjfbwm532GiveGC0ZK
United States,Blinding Lights,The Weeknd,Blinding Lights - Single,1Xyo4u8uXC1ZmMpatF05PJ
United States,BOP,DaBaby,KIRK,4r63FhuTkUYltbVAg5TQnk
United States,ROXANNE,Arizona Zervas,ROXANNE - Single,0vRvGUQVUjytro0xpb26bs
