,Country,Artist(s),Song Title,Rank,Source,Album,Genre,Spotify_ID,Country_ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,Australia,Tones and I,Dance Monkey,,Apple,Dance Monkey - Single,Pop,2XU0oxnq2qxCpomAAuJY8K,0,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
1,Australia,Regard,Ride It,,Apple,Ride It - Single,Dance,2tnVG71enUj33Ic2nFN6kZ,0,0.882,0.78,0,-4.256,0.0939,0.159,5.22e-05,0.0973,0.867,117.945,157606
2,Australia,Dua Lipa,Don't Start Now,,Apple,Don't Start Now - Single,Pop,6WrI0LAC5M1Rw2MnX2ZvEg,0,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290
3,Australia,Tones and I,Never Seen the Rain,,Apple,The Kids Are Coming - EP,Alternative,0JQ5MbyriK6ruD3t6RZ7ix,0,0.672,0.464,6,-5.624,0.037,0.43,0.0,0.284,0.271,92.069,200742
4,Australia,Arizona Zervas,ROXANNE,,Apple,ROXANNE - Single,Hip-Hop/Rap,696DnlkuDOXcMAnKlTgXXK,0,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,163636
5,Australia,Tame Impala,The Less I Know the Better,1.0,LastFM,Currents,,6K4t31amVTZDgR3sKmwUJJ,0,0.64,0.74,4,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,216320
6,Australia,The Killers,Mr. Brightside,2.0,LastFM,Hot Fuss,,7oK9VyNzrYvRFo7nQEYkWN,0,0.356,0.924,1,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587
7,Australia,The Weeknd,Can't Feel My Face,3.0,LastFM,Beauty Behind the Madness,,22VdIZQfgXJea34mQxlt81,0,0.705,0.769,9,-5.526,0.0426,0.112,0.0,0.105,0.59,107.939,213520
8,Australia,Drake,Hotline Bling,4.0,LastFM,Views,,0wwPcA6wtMf6HUMpIRdeP7,0,0.891,0.625,2,-7.861,0.0558,0.00261,0.000176,0.0504,0.548,134.967,267067
9,Australia,Tame Impala,Let It Happen,5.0,LastFM,Currents,,2X485T9Z5Ly0xyaghN73ed,0,0.602,0.881,1,-5.875,0.0443,0.00462,0.0266,0.111,0.577,125.012,467587
10,Canada,Tones and I,Dance Monkey,,Apple,Dance Monkey - Single,Alternative,2XU0oxnq2qxCpomAAuJY8K,1,0.824,0.588,6,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,209438
