,Country,Artist(s),Song Title,Rank,Source,Album
0,Hong Kong,Adele,Hello,1,LastFM,25
1,Hong Kong,The Weeknd,Can't Feel My Face,2,LastFM,Beauty Behind the Madness
2,Hong Kong,Ed Sheeran,Photograph,3,LastFM,x
3,Hong Kong,Ed Sheeran,Thinking Out Loud,4,LastFM,x
4,Hong Kong,Ed Sheeran,Shape of You,5,LastFM,÷ (Deluxe)
5,Netherlands,Toto,Africa,1,LastFM,Toto IV
6,Netherlands,Dire Straits,Sultans of Swing,2,LastFM,Dire Straits
7,Netherlands,Adele,Hello,3,LastFM,25
8,Netherlands,Nirvana,Smells Like Teen Spirit,4,LastFM,Nevermind
9,Netherlands,Oasis,Wonderwall,5,LastFM,(What's the Story) Morning Glory?
10,Australia,Tame Impala,The Less I Know the Better,1,LastFM,Currents
11,Australia,The Killers,Mr. Brightside,2,LastFM,Hot Fuss
12,Australia,The Weeknd,Can't Feel My Face,3,LastFM,Beauty Behind the Madness
13,Australia,Drake,Hotline Bling,4,LastFM,Views
14,Australia,Tame Impala,Let It Happen,5,LastFM,Currents
15,Canada,The Weeknd,Can't Feel My Face,1,LastFM,Beauty Behind the Madness
16,Canada,Drake,Hotline Bling,2,LastFM,Views
17,Canada,The Killers,Mr. Brightside,3,LastFM,Hot Fuss
18,Canada,Nirvana,Smells Like Teen Spirit,4,LastFM,Nevermind
19,Canada,Tame Impala,The Less I Know the Better,5,LastFM,Currents
20,France,Nirvana,Smells Like Teen Spirit,1,LastFM,Nevermind
21,France,Radiohead,Creep,2,LastFM,Pablo Honey
22,France,Jain,Come,3,LastFM,Zanaka
23,France,Oasis,Wonderwall,4,LastFM,(What's the Story) Morning Glory?
24,France,Radiohead,Karma Police,5,LastFM,OK Computer
25,Japan,スピッツ,ロビンソン,1,LastFM,ハチミツ
26,Japan,宇多田ヒカル,花束を君に,2,LastFM,花束を君に
27,Japan,サカナクション,新宝島,3,LastFM,新宝島
28,Japan,ASIAN KUNG-FU GENERATION,リライト,4,LastFM,ソルファ
29,Japan,宇多田ヒカル,道,5,LastFM,Hikaru Utada Laughter in the Dark Tour 2018
30,UK,The Killers,Mr. Brightside,1,LastFM,Hot Fuss
31,UK,Toto,Africa,2,LastFM,Toto IV
32,UK,Mariah Carey,All I Want for Christmas Is You,3,LastFM,Merry Christmas
33,UK,Nirvana,Smells Like Teen Spirit,4,LastFM,Nevermind
34,UK,The White Stripes,Seven Nation Army,5,LastFM,Elephant
35,Germany,Nirvana,Smells Like Teen Spirit,1,LastFM,Nevermind
36,Germany,Toto,Africa,2,LastFM,Toto IV
37,Germany,The Killers,Mr. Brightside,3,LastFM,Hot Fuss
38,Germany,Nirvana,Come as You Are,4,LastFM,Nevermind
39,Germany,Adele,Hello,5,LastFM,25
40,US,The Weeknd,Can't Feel My Face,1,LastFM,Beauty Behind the Madness
41,US,Drake,Hotline Bling,2,LastFM,Views
42,US,Tame Impala,The Less I Know the Better,3,LastFM,Currents
43,US,The Killers,Mr. Brightside,4,LastFM,Hot Fuss
44,US,Adele,Hello,5,LastFM,25
