Country,Name,Artist,Album,Genre,Source
Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,流行樂,Apple
Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),原聲帶,Apple
Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,國語流行樂,Apple
Hong Kong,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),原聲帶,Apple
Hong Kong,Memories,魔力紅樂團,Memories - Single,流行樂,Apple
Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,Apple
Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
Netherlands,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Feestdagen,Apple
Netherlands,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Russia,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,Увезите меня на Дип-хаус - Single,Поп,Apple
Russia,Любимка,NILETTO,Любимка - Single,Поп,Apple
Russia,Комета,JONY,Комета - Single,Поп,Apple
Russia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Альтернатива,Apple
Russia,Грустная Песня (feat. Егор Крид & MORGENSHTERN),THRILL PILL,ОТКРОВЕНИЯ,Хип-хоп,Apple
Australia,Dance Monkey,Tones and I,Dance Monkey - Single,Pop,Apple
Australia,Ride It,Regard,Ride It - Single,Dance,Apple
Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,Alternative,Apple
Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,Apple
Canada,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,Apple
Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,Apple
Canada,Heartless,The Weeknd,Heartless - Single,R&B/Soul,Apple
Canada,Falling,Trevor Daniel,Falling - Single,Pop,Apple
France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,Hip-hop/Rap,Apple
France,Mayday (feat. Ninho),SCH,Rooftop,Hip-hop/Rap,Apple
France,6.35,Jul,C'est pas des LOL,Hip-hop/Rap,Apple
France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),R&B/Soul,Apple
France,Mon bébé d'amour,Jul,C'est pas des LOL,Hip-hop/Rap,Apple
Japan,Pretender,Official髭男dism,Pretender - Single,J-Pop,Apple
Japan,白日,King Gnu,白日 - Single,オルタナティブ,Apple
Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,Apple
Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,Apple
Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,Apple
UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,Apple
UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,Apple
UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,Apple
UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,Apple
UK,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,Apple
Denmark,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,Apple
Denmark,COLT,Samra,COLT - Single,Hip-Hop/Rap,Apple
Denmark,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,Apple
Denmark,Tiffany,Shindy,Tiffany - Single,Hip-Hop/Rap,Apple
Denmark,Roller,Apache 207,Platte,Hip-Hop/Rap,Apple
US,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,Apple
US,Start wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,Apple
US,Peta (feat. Meek Mill),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,Apple
US,Intro,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,Apple
US,Tip Toe (feat. A Boogie wit da Hoodie),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,Apple
