Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,1,Apple,3Z0oQ8r78OUaHvGPiDBR3W
Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,2,Apple,0TK2YIli7K1leLovkQiNik
Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,Pop,3,Apple,56wVfJKtnwlSZtC4NVgIrf
Hong Kong,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,4,Apple,50WeOnXhM1H7AZEeIDoWfZ
Hong Kong,Memories,魔力紅樂團,Memories - Single,Pop,5,Apple,2b8fOow8UzyDFAE27YhOZM
Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K
Netherlands,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Holidays,2,Apple,0bYg9bo50gSsH3LtXe2SQn
Netherlands,Last Christmas (Single Version),Wham!,Last Christmas - Single,Holidays,3,Apple,2xaIDPWSc9IofcokGi85TP
Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,4,Apple,0sf12qNH5qcw8qpgymFOqD
Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,5,Apple,3ZCTVFBt2Brf31RLEnCkWJ
Australia,Dance Monkey,Tones and I,Dance Monkey - Single,Pop,1,Apple,2XU0oxnq2qxCpomAAuJY8K
Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,2,Apple,6WrI0LAC5M1Rw2MnX2ZvEg
Australia,Ride It,Regard,Ride It - Single,Dance,3,Apple,2tnVG71enUj33Ic2nFN6kZ
Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,Alternative,4,Apple,0JQ5MbyriK6ruD3t6RZ7ix
Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,5,Apple,696DnlkuDOXcMAnKlTgXXK
Canada,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K
Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,2,Apple,696DnlkuDOXcMAnKlTgXXK
Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,3,Apple,0sf12qNH5qcw8qpgymFOqD
Canada,Heartless,The Weeknd,Heartless - Single,R&B/Soul,4,Apple,57vxBYXtHMk6H1aD29V7PU
Canada,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Holiday,5,Apple,0bYg9bo50gSsH3LtXe2SQn
France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,Hip-hop/Rap,1,Apple,0kp0ovTvyYUdoexEt7AcoL
France,Mayday (feat. Ninho),SCH,Rooftop,Hip-hop/Rap,2,Apple,1SVuEeerYIwjCRsF5MGzX3
France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),R&B/Soul,3,Apple,7FYH5AW3bVfZHJIQpq3UOA
France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Apple,2XU0oxnq2qxCpomAAuJY8K
France,Mon bébé d'amour,Jul,C'est pas des LOL,Hip-hop/Rap,5,Apple,6ONBway3VLMdg9tQMZixT7
Japan,Pretender,Official髭男dism,Pretender - Single,J-Pop,1,Apple,7x8dCjCr0x6x2lXKujYD34
Japan,白日,King Gnu,白日 - Single,Alternative,2,Apple,7f6294j6awMKzkePCiRbjj
Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,3,Apple,1T6Db8pPGs2CaMGKQwfR5o
Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,4,Apple,270LcmQ5eUlY2Sl6Y4L6Wn
Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,5,Apple,0jWVUKsIoyo3zw64RaEWYg
UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K
UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,2,Apple,07s9NNOT0sZQp7TyolLLgu
UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,3,Apple,0bYg9bo50gSsH3LtXe2SQn
UK,Last Christmas,Wham!,Twenty Five,Pop,4,Apple,6wn2nmFn3wDuiMldRiuRuL
UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,5,Apple,7ce20yLkzuXXLUhzIDoZih
Germany,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,1,Apple,6416zJN0FGPmh1Ph4BH2h3
Germany,COLT,Samra,COLT - Single,Hip-Hop/Rap,2,Apple,1ACZpHI5vZ5Ea4xGlkdGWM
Germany,Roller,Apache 207,Platte,Hip-Hop/Rap,3,Apple,69M9QCMsCQ5MLsw7BBW0rL
Germany,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,4,Apple,2XU0oxnq2qxCpomAAuJY8K
Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,5,Apple,2M39v73rNJmAXUXIW0oagP
