,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID_x,index,Playlist Name,Playlist ID,Song,ID_y,Rank,Country
0,0.606,0.715,-5.608,0.173,0.294,0.000133,0.124,0.393,174.049,6416zJN0FGPmh1Ph4BH2h3,15,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,KEIN SCHLAF,6416zJN0FGPmh1Ph4BH2h3,6,Germany
1,0.544,0.53,-6.168,0.428,0.345,0.0,0.0981,0.184,90.093,76IVpz47q3ghkxoUeTTEKb,16,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,COLT,76IVpz47q3ghkxoUeTTEKb,6,Germany
2,0.941,0.758,-6.47,0.17,0.0256,0.00263,0.193,0.683,128.02,6hw1Sy9wZ8UCxYGdpKrU6M,17,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Roller,6hw1Sy9wZ8UCxYGdpKrU6M,6,Germany
3,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,18,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Germany
4,0.612,0.704,-4.147,0.372,0.126,0.0,0.569,0.672,96.015,2M39v73rNJmAXUXIW0oagP,19,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Der Bratan bleibt der gleiche,2M39v73rNJmAXUXIW0oagP,6,Germany
5,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,25,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Netherlands
6,0.718,0.86,-7.515,0.115,0.658,0.0,0.187,0.914,89.97,1RO8Q3w2Jkir8cvvGEApI0,26,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,Pa Olvidarte,1RO8Q3w2Jkir8cvvGEApI0,6,Netherlands
7,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn,27,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Netherlands
8,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,28,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,Netherlands
9,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,29,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,Memories,2b8fOow8UzyDFAE27YhOZM,6,Netherlands
10,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,30,Australia Top 50,37i9dQZEVXbJPcfkRz0wJ0,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Australia
11,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,31,Australia Top 50,37i9dQZEVXbJPcfkRz0wJ0,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,Australia
12,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,32,Australia Top 50,37i9dQZEVXbJPcfkRz0wJ0,Circles,21jGcNKet2qwijlDFuPiPb,6,Australia
13,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg,33,Australia Top 50,37i9dQZEVXbJPcfkRz0wJ0,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,6,Australia
14,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM,34,Australia Top 50,37i9dQZEVXbJPcfkRz0wJ0,Memories,2b8fOow8UzyDFAE27YhOZM,6,Australia
15,0.538,0.869,-3.464,0.0275,0.047,0.0,0.14,0.369,91.972,58dxGXavrcagRqA58fNB0Z,50,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,Pretender,58dxGXavrcagRqA58fNB0Z,6,Japan
16,0.606,0.901,-2.552,0.11,0.67,0.0,0.289,0.748,93.012,0mNO3xUzjsI17GXO1DRFCH,51,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,Hakujitsu,0mNO3xUzjsI17GXO1DRFCH,6,Japan
17,0.547,0.577,-6.087,0.0336,0.0152,0.0,0.109,0.494,164.032,2yozZfRYHP7Elsymghu5t3,52,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,宿命,2yozZfRYHP7Elsymghu5t3,6,Japan
18,0.541,0.8,-3.687,0.0382,0.0442,0.0,0.398,0.56,129.939,3S3DDZrPOYTirleXRyHnNM,53,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,イエスタデイ,3S3DDZrPOYTirleXRyHnNM,6,Japan
19,0.574,0.936,-3.185,0.07,0.0585,0.0,0.336,0.793,149.953,5DMEvbg3gUmiR5HIBWdveV,54,Japan Top 50,37i9dQZEVXbKXQ4mDTEBXq,ノーダウト,5DMEvbg3gUmiR5HIBWdveV,6,Japan
