,Playlist Name,Playlist ID,Song,ID,Rank,Country
0,Global Top 50,37i9dQZEVXbMDoHDwVN2tF,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Global
1,Global Top 50,37i9dQZEVXbMDoHDwVN2tF,ROXANNE,696DnlkuDOXcMAnKlTgXXK,6,Global
2,Global Top 50,37i9dQZEVXbMDoHDwVN2tF,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,6,Global
3,Global Top 50,37i9dQZEVXbMDoHDwVN2tF,Señorita,6v3KW9xbzN5yKLt9YKDYA2,6,Global
4,Global Top 50,37i9dQZEVXbMDoHDwVN2tF,Circles,21jGcNKet2qwijlDFuPiPb,6,Global
5,Brazil Top 50,37i9dQZEVXbMXbN3EUUhlg,Combatchy (feat. MC Rebecca),2bPtwnrpFNEe8N7Q85kLHw,6,Brazil
6,Brazil Top 50,37i9dQZEVXbMXbN3EUUhlg,Surtada - Remix Brega Funk,5F8ffc8KWKNawllr5WsW0r,6,Brazil
7,Brazil Top 50,37i9dQZEVXbMXbN3EUUhlg,Supera - Ao Vivo,3GmJxfnUDrIs1iCfKUELFz,6,Brazil
8,Brazil Top 50,37i9dQZEVXbMXbN3EUUhlg,Cheirosa - Ao Vivo,2PWjKmjyTZeDpmOUa3a5da,6,Brazil
9,Brazil Top 50,37i9dQZEVXbMXbN3EUUhlg,Gaiola É o Troco,3Uq45ipGutypFPmETfaoaH,6,Brazil
10,Spain Top 50,37i9dQZEVXbNFJfN1Vw8d9,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Spain
11,Spain Top 50,37i9dQZEVXbNFJfN1Vw8d9,Alocao (With Bad Gyal),6RyuoOJXNzlVWpfC5xQyeI,6,Spain
12,Spain Top 50,37i9dQZEVXbNFJfN1Vw8d9,Indeciso,59s0s39NFWScuHDbHytI14,6,Spain
13,Spain Top 50,37i9dQZEVXbNFJfN1Vw8d9,Vete,5DxXgozhkPLgrbKFY91w0c,6,Spain
14,Spain Top 50,37i9dQZEVXbNFJfN1Vw8d9,China,2ksOAxtIxY8yElEWw8RhgK,6,Spain
15,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,KEIN SCHLAF,6416zJN0FGPmh1Ph4BH2h3,6,Germany
16,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,COLT,76IVpz47q3ghkxoUeTTEKb,6,Germany
17,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Roller,6hw1Sy9wZ8UCxYGdpKrU6M,6,Germany
18,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Germany
19,Germany Top 50,37i9dQZEVXbJiZcmkrIHGU,Der Bratan bleibt der gleiche,2M39v73rNJmAXUXIW0oagP,6,Germany
20,Mexico Top 50,37i9dQZEVXbO3qyFxbkOE1,Tusa,7k4t7uLgtOxPwTpFmtJNTY,6,Mexico
21,Mexico Top 50,37i9dQZEVXbO3qyFxbkOE1,LA CANCIÓN,0fea68AdmYNygeTGI4RC18,6,Mexico
22,Mexico Top 50,37i9dQZEVXbO3qyFxbkOE1,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,6,Mexico
23,Mexico Top 50,37i9dQZEVXbO3qyFxbkOE1,Vete,5DxXgozhkPLgrbKFY91w0c,6,Mexico
24,Mexico Top 50,37i9dQZEVXbO3qyFxbkOE1,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Mexico
25,Netherlands Top 50,37i9dQZEVXbKCF6dqVpDkS,Dance Monkey,1rgnBhdG2JDFTbYkYRZAku,6,Netherlands
