,Danceability,Energy,Loudness,Speechiness,acousticness,instrumentalness,liveness,valence,tempo,ID
0,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
1,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
2,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
3,0.759,0.548,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2
4,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
5,0.826,0.73,-3.032,0.0809,0.383,0.000374,0.0197,0.605,150.134,2bPtwnrpFNEe8N7Q85kLHw
6,0.832,0.55,-7.026,0.0587,0.249,8.17e-06,0.182,0.881,154.064,5F8ffc8KWKNawllr5WsW0r
7,0.665,0.743,-4.434,0.0567,0.0604,0.0,0.959,0.658,131.573,3GmJxfnUDrIs1iCfKUELFz
8,0.528,0.87,-3.123,0.0851,0.24,0.0,0.333,0.714,152.37,2PWjKmjyTZeDpmOUa3a5da
9,0.722,0.84,-3.24,0.0785,0.42,0.0,0.112,0.851,150.108,3Uq45ipGutypFPmETfaoaH
10,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
11,0.673,0.752,-4.705,0.0567,0.214,1.53e-06,0.106,0.699,178.005,6RyuoOJXNzlVWpfC5xQyeI
12,0.738,0.748,-4.902,0.0453,0.182,0.0,0.11,0.896,94.949,59s0s39NFWScuHDbHytI14
13,0.886,0.672,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c
14,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
15,0.606,0.715,-5.608,0.173,0.294,0.000133,0.124,0.393,174.049,6416zJN0FGPmh1Ph4BH2h3
16,0.544,0.53,-6.168,0.428,0.345,0.0,0.0981,0.184,90.093,76IVpz47q3ghkxoUeTTEKb
17,0.941,0.758,-6.47,0.17,0.0256,0.00263,0.193,0.683,128.02,6hw1Sy9wZ8UCxYGdpKrU6M
18,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
19,0.612,0.704,-4.147,0.372,0.126,0.0,0.569,0.672,96.015,2M39v73rNJmAXUXIW0oagP
20,0.803,0.715,-3.28,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY
21,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,0fea68AdmYNygeTGI4RC18
22,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
23,0.886,0.672,-4.394,0.188,0.0363,8.78e-06,0.101,0.526,91.976,5DxXgozhkPLgrbKFY91w0c
24,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
25,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
26,0.718,0.86,-7.515,0.115,0.658,0.0,0.187,0.914,89.97,1RO8Q3w2Jkir8cvvGEApI0
27,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
28,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
29,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
30,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
31,0.621,0.601,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK
32,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb
33,0.794,0.793,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941,6WrI0LAC5M1Rw2MnX2ZvEg
34,0.764,0.32,-7.209,0.0546,0.837,0.0,0.0822,0.575,91.019,2b8fOow8UzyDFAE27YhOZM
35,0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,6cy3ki60hLwimwIje7tALf
36,0.879,0.703,-4.219,0.0701,0.143,0.0,0.0569,0.788,94.004,6mAN61JH0dzyZpWslS11jy
37,0.658,0.901,-2.814,0.0357,0.0478,0.0,0.12,0.708,93.979,6RyaV7owmVU6fzEPE17sF1
38,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,2ksOAxtIxY8yElEWw8RhgK
39,0.781,0.866,-3.493,0.0867,0.216,0.0,0.101,0.864,95.993,4BCPItsB94KDLuERZT3aNM
40,0.692,0.792,-5.984,0.245,0.13,0.0,0.255,0.566,129.883,7HwvPmK74MBRDhCIyMXReP
41,0.72,0.83,-5.42,0.206,0.0123,0.0,0.438,0.482,120.153,4z6l90HzhLLCd0hWddzbrh
42,0.655,0.814,-5.472,0.0823,0.0698,0.0,0.107,0.69,180.082,5YxP1CkunbhUQVvctFOHa7
43,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
44,0.748,0.662,-4.832,0.285,0.149,0.0,0.17,0.346,157.918,1Xm2e1vDwOMeJJioWuG1s7
45,0.335,0.625,-7.462,0.0386,0.164,0.0,0.0708,0.346,150.277,0bYg9bo50gSsH3LtXe2SQn
46,0.735,0.478,-12.472,0.0293,0.189,2.48e-06,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78
47,0.825,0.593,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku
48,0.445,0.643,-7.473,0.121,0.0401,0.0,0.0818,0.513,88.204,6HJasLoTKvxglAMQH8nPcD
49,0.786,0.691,-6.96,0.185,0.376,0.0,0.105,0.307,129.768,4LZi20EAgNBhTR3OBWLzdr
50,0.538,0.869,-3.464,0.0275,0.047,0.0,0.14,0.369,91.972,58dxGXavrcagRqA58fNB0Z
51,0.606,0.901,-2.552,0.11,0.67,0.0,0.289,0.748,93.012,0mNO3xUzjsI17GXO1DRFCH
52,0.547,0.577,-6.087,0.0336,0.0152,0.0,0.109,0.494,164.032,2yozZfRYHP7Elsymghu5t3
53,0.541,0.8,-3.687,0.0382,0.0442,0.0,0.398,0.56,129.939,3S3DDZrPOYTirleXRyHnNM
