,Country,Name,Artist,Album,Genre,Rank,Source,Spotify ID
0,Hong Kong,Señorita,Shawn Mendes & Camila Cabello,Señorita - Single,Pop,1,Apple,0TK2YIli7K1leLovkQiNik
1,Hong Kong,Into the Unknown,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,2,Apple,3Z0oQ8r78OUaHvGPiDBR3W
2,Hong Kong,說好不哭,周杰倫 & 阿信,說好不哭 - Single,Pop,3,Apple,56wVfJKtnwlSZtC4NVgIrf
3,Hong Kong,Show Yourself,Idina Menzel & Evan Rachel Wood,Frozen 2 (Original Motion Picture Soundtrack / Deluxe Edition),Soundtrack,4,Apple,50WeOnXhM1H7AZEeIDoWfZ
4,Hong Kong,讓愛高飛 (劇集《多功能老婆》片尾曲),周柏豪,讓愛高飛 (劇集《多功能老婆》片尾曲) - Single,Guangdong song,5,Apple,7nIxo0dE9d4FBwPYhmdQae
5,Netherlands,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,1,Apple,2XU0oxnq2qxCpomAAuJY8K
6,Netherlands,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hiphop / Rap,2,Apple,285pBltuF7vW8TeWk8hdRR
7,Netherlands,everything i wanted,Billie Eilish,everything i wanted - Single,Alternative,3,Apple,3ZCTVFBt2Brf31RLEnCkWJ
8,Netherlands,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,4,Apple,0sf12qNH5qcw8qpgymFOqD
9,Netherlands,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Holidays,5,Apple,0bYg9bo50gSsH3LtXe2SQn
10,Australia,Dance Monkey,Tones and I,Dance Monkey - Single,Pop,1,Apple,2XU0oxnq2qxCpomAAuJY8K
11,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,2,Apple,6WrI0LAC5M1Rw2MnX2ZvEg
12,Australia,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,3,Apple,285pBltuF7vW8TeWk8hdRR
13,Australia,Ride It,Regard,Ride It - Single,Dance,4,Apple,2tnVG71enUj33Ic2nFN6kZ
14,Australia,Never Seen the Rain,Tones and I,The Kids Are Coming - EP,Alternative,5,Apple,0JQ5MbyriK6ruD3t6RZ7ix
15,Canada,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Apple,285pBltuF7vW8TeWk8hdRR
16,Canada,Bandit,Juice WRLD & YoungBoy Never Broke Again,Bandit - Single,Hip-Hop/Rap,2,Apple,6Gg1gjgKi2AK4e0qzsR7sd
17,Canada,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,3,Apple,2XU0oxnq2qxCpomAAuJY8K
18,Canada,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Apple,696DnlkuDOXcMAnKlTgXXK
19,Canada,Blinding Lights,The Weeknd,Blinding Lights - Single,R&B/Soul,5,Apple,0sf12qNH5qcw8qpgymFOqD
20,France,Ne reviens pas (feat. Heuss L'enfoiré),Gradur,Zone 59,Hip-hop/Rap,1,Apple,0kp0ovTvyYUdoexEt7AcoL
21,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-hop/Rap,2,Apple,1SVuEeerYIwjCRsF5MGzX3
22,France,40%,Aya Nakamura,NAKAMURA (Deluxe Edition),R&B/Soul,3,Apple,7FYH5AW3bVfZHJIQpq3UOA
23,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,4,Apple,2XU0oxnq2qxCpomAAuJY8K
24,France,Mon bébé d'amour,Jul,C'est pas des LOL,Hip-hop/Rap,5,Apple,6ONBway3VLMdg9tQMZixT7
25,Japan,Pretender,Official髭男dism,Pretender - Single,J-Pop,1,Apple,7x8dCjCr0x6x2lXKujYD34
26,Japan,白日,King Gnu,白日 - Single,Alternative,2,Apple,7f6294j6awMKzkePCiRbjj
27,Japan,宿命,Official髭男dism,宿命 - Single,J-Pop,3,Apple,1T6Db8pPGs2CaMGKQwfR5o
28,Japan,イエスタデイ,Official髭男dism,Traveler,J-Pop,4,Apple,270LcmQ5eUlY2Sl6Y4L6Wn
29,Japan,マリーゴールド,あいみょん,瞬間的シックスセンス,J-Pop,5,Apple,0jWVUKsIoyo3zw64RaEWYg
30,UK,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,Heavy Is The Head,Hip-Hop/Rap,1,Apple,07s9NNOT0sZQp7TyolLLgu
31,UK,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,2,Apple,2XU0oxnq2qxCpomAAuJY8K
32,UK,Before You Go,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,3,Apple,7ce20yLkzuXXLUhzIDoZih
33,UK,All I Want For Christmas Is You,Mariah Carey,Merry Christmas,Christmas,4,Apple,0bYg9bo50gSsH3LtXe2SQn
34,UK,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,5,Apple,6WrI0LAC5M1Rw2MnX2ZvEg
35,Germany,KEIN SCHLAF,Nimo & Hava,NIMORIGINAL,Hip-Hop/Rap,1,Apple,6416zJN0FGPmh1Ph4BH2h3
36,Germany,COLT,Samra,COLT - Single,Hip-Hop/Rap,2,Apple,1ACZpHI5vZ5Ea4xGlkdGWM
37,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,3,Apple,2M39v73rNJmAXUXIW0oagP
38,Germany,Roller,Apache 207,Platte,Hip-Hop/Rap,4,Apple,69M9QCMsCQ5MLsw7BBW0rL
39,Germany,Dance Monkey,Tones and I,Dance Monkey - Single,Alternative,5,Apple,2XU0oxnq2qxCpomAAuJY8K
40,US,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Apple,285pBltuF7vW8TeWk8hdRR
41,US,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,2,Apple,0nbXyq5TXYPCO7pr3N8S4I
42,US,Bandit,Juice WRLD & YoungBoy Never Broke Again,Bandit - Single,Hip-Hop/Rap,3,Apple,6Gg1gjgKi2AK4e0qzsR7sd
43,US,Start wit Me (feat. Gunna),Roddy Ricch,Please Excuse Me For Being Antisocial,Hip-Hop/Rap,4,Apple,5ravc2aiNoYmu9m37diYXW
44,US,All Girls Are the Same,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,5,Apple,4VXIryQMWpIdGgYR4TrjT1
0,Hong Kong,Hello,Adele,25,Pop,1,LastFM,4sPmO7WMQUAf45kwMOtONw
1,Hong Kong,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,2,LastFM,22VdIZQfgXJea34mQxlt81
2,Hong Kong,Photograph,Ed Sheeran,x,Pop,3,LastFM,1HNkqx9Ahdgi1Ixy2xkKkL
3,Hong Kong,Thinking Out Loud,Ed Sheeran,x,Pop,4,LastFM,34gCuhDGsG4bRPIf9bb02f
4,Hong Kong,Shape of You,Ed Sheeran,÷ (Deluxe),Pop,5,LastFM,7qiZfU4dY1lWllzX7mPBI3
5,Netherlands,Africa,Toto,Toto IV,Rock,1,LastFM,2374M0fQpWi3dLnB54qaLX
6,Netherlands,Sultans of Swing,Dire Straits,Dire Straits,Rock,2,LastFM,6cr6UDpkjEaMQ80OjWqEBQ
7,Netherlands,Hello,Adele,25,Pop,3,LastFM,4sPmO7WMQUAf45kwMOtONw
8,Netherlands,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
9,Netherlands,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,5,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
10,Australia,The Less I Know the Better,Tame Impala,Currents,Alternative,1,LastFM,6K4t31amVTZDgR3sKmwUJJ
11,Australia,Mr. Brightside,The Killers,Hot Fuss,Rock,2,LastFM,7oK9VyNzrYvRFo7nQEYkWN
12,Australia,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,3,LastFM,22VdIZQfgXJea34mQxlt81
13,Australia,Hotline Bling,Drake,Views,Hip-Hop/Rap,4,LastFM,0wwPcA6wtMf6HUMpIRdeP7
14,Australia,Let It Happen,Tame Impala,Currents,Alternative,5,LastFM,2X485T9Z5Ly0xyaghN73ed
15,Canada,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
16,Canada,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
17,Canada,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
18,Canada,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
19,Canada,The Less I Know the Better,Tame Impala,Currents,Alternative,5,LastFM,6K4t31amVTZDgR3sKmwUJJ
20,France,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
21,France,Creep,Radiohead,Pablo Honey,Alternative,2,LastFM,6b2oQwSGFkzsMtQruIWm2p
22,France,Come,Jain,Zanaka,Pop,3,LastFM,3PIDciSFdrQxSQSihim3hN
23,France,Wonderwall,Oasis,(What's the Story) Morning Glory?,Alternative,4,LastFM,5wj4E6IsrVtn8IBJQOd0Cl
24,France,Karma Police,Radiohead,OK Computer,Alternative,5,LastFM,3SVAN3BRByDmHOhKyIDxfC
25,Japan,ロビンソン,スピッツ,ハチミツ,Pop,1,LastFM,4SBVWkRIMJ6WBCYPvr5Bwr
26,Japan,花束を君に,宇多田ヒカル,花束を君に,J-Pop,2,LastFM,31yv1hR9gw1WSEmtqsaZbD
27,Japan,新宝島,サカナクション,新宝島,Rock,3,LastFM,4a48lWUd64bZgHUDx0GZlj
28,Japan,リライト,ASIAN KUNG-FU GENERATION,ソルファ,Anime,4,LastFM,630sXRhIcfwr2e4RdNtjKN
29,Japan,道,宇多田ヒカル,Hikaru Utada Laughter in the Dark Tour 2018,Hip-Hop/Rap,5,LastFM,6KAw9NEvkVlIhg5T0G97M8
30,UK,Mr. Brightside,The Killers,Hot Fuss,Rock,1,LastFM,7oK9VyNzrYvRFo7nQEYkWN
31,UK,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
32,UK,All I Want for Christmas Is You,Mariah Carey,Merry Christmas,Holiday,3,LastFM,0bYg9bo50gSsH3LtXe2SQn
33,UK,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,4,LastFM,5ghIJDpPoe3CfHMGu71E6T
34,UK,Seven Nation Army,The White Stripes,Elephant,Alternative,5,LastFM,7i6r9KotUPQg3ozKKgEPIN
35,Germany,Smells Like Teen Spirit,Nirvana,Nevermind,Rock,1,LastFM,5ghIJDpPoe3CfHMGu71E6T
36,Germany,Africa,Toto,Toto IV,Rock,2,LastFM,2374M0fQpWi3dLnB54qaLX
37,Germany,Mr. Brightside,The Killers,Hot Fuss,Rock,3,LastFM,7oK9VyNzrYvRFo7nQEYkWN
38,Germany,Come as You Are,Nirvana,Nevermind,Rock,4,LastFM,4P5KoWXOxwuobLmHXLMobV
39,Germany,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
40,US,Can't Feel My Face,The Weeknd,Beauty Behind the Madness,R&B/Soul,1,LastFM,22VdIZQfgXJea34mQxlt81
41,US,Hotline Bling,Drake,Views,Hip-Hop/Rap,2,LastFM,0wwPcA6wtMf6HUMpIRdeP7
42,US,The Less I Know the Better,Tame Impala,Currents,Alternative,3,LastFM,6K4t31amVTZDgR3sKmwUJJ
43,US,Mr. Brightside,The Killers,Hot Fuss,Rock,4,LastFM,7oK9VyNzrYvRFo7nQEYkWN
44,US,Hello,Adele,25,Pop,5,LastFM,4sPmO7WMQUAf45kwMOtONw
0,Germany,KEIN SCHLAF,LGM,Kein Schlaf - Single,Hip-Hop/Rap,1,Spotify,6416zJN0FGPmh1Ph4BH2h3
1,Germany,COLT,Colt Ford,Declaration of Independence (Deluxe Edition),Country,2,Spotify,1ACZpHI5vZ5Ea4xGlkdGWM
2,Germany,Roller,April Wine,Classic Masters: April Wine (Remastered),Rock,3,Spotify,69M9QCMsCQ5MLsw7BBW0rL
3,Germany,Der Bratan bleibt der gleiche,Capital Bra,Der Bratan bleibt der gleiche - Single,Hip-Hop/Rap,4,Spotify,2M39v73rNJmAXUXIW0oagP
4,Germany,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,5,Spotify,2XU0oxnq2qxCpomAAuJY8K
5,Netherlands,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,1,Spotify,2XU0oxnq2qxCpomAAuJY8K
6,Netherlands,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,2,Spotify,285pBltuF7vW8TeWk8hdRR
7,Netherlands,Pa Olvidarte,"ChocQuibTown, Zion & Lennox & Farruko",Pa Olvidarte (Remix) [feat. Manuel Turizo] - Single,Urbano latino,3,Spotify,2ktoFujjJtantyMoVdBJlX
8,Netherlands,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,4,Spotify,696DnlkuDOXcMAnKlTgXXK
9,Netherlands,Memories,Maroon 5,Memories - Single,Pop,5,Spotify,2b8fOow8UzyDFAE27YhOZM
10,Australia,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Spotify,285pBltuF7vW8TeWk8hdRR
11,Australia,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
12,Australia,ROXANNE,Arizona Zervas,ROXANNE - Single,Hip-Hop/Rap,3,Spotify,696DnlkuDOXcMAnKlTgXXK
13,Australia,Circles,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,4,Spotify,21jGcNKet2qwijlDFuPiPb
14,Australia,Don't Start Now,Dua Lipa,Don't Start Now - Single,Pop,5,Spotify,6WrI0LAC5M1Rw2MnX2ZvEg
15,Japan,Pretender,Steve Aoki,Pretender (feat. Lil Yachty & AJR) - Single,Dance,1,Spotify,7x8dCjCr0x6x2lXKujYD34
16,Japan,Hakujitsu,King Gnu,Hakujitsu - Single,J-Pop,2,Spotify,0mNO3xUzjsI17GXO1DRFCH
17,Japan,宿命,Yasuharu Takanashi,"""Fairy Tail"" Original Soundtrack Vol.1",Anime,3,Spotify,1T6Db8pPGs2CaMGKQwfR5o
18,Japan,イエスタデイ,The Beatles,1 (2015 Version),Rock,4,Spotify,270LcmQ5eUlY2Sl6Y4L6Wn
19,Japan,ノーダウト,No Doubt,The Singles 1992-2003,Pop,5,Spotify,6urCAbunOQI4bLhmGpX7iS
20,France,Ne reviens pas,Salomé Leclerc,Sous les arbres,French Pop,1,Spotify,0kp0ovTvyYUdoexEt7AcoL
21,France,Dance Monkey,Tones and I,The Kids Are Coming - EP,Alternative,2,Spotify,2XU0oxnq2qxCpomAAuJY8K
22,France,Popopop,musiqman Jr.,Musiqruisin',R&B/Soul,3,Spotify,18HNGxDOcshRU2Hdu8tMOM
23,France,Mayday (feat. Ninho),SCH,Rooftop,Hip-Hop/Rap,4,Spotify,1SVuEeerYIwjCRsF5MGzX3
24,France,Jamais,Charlotte Gainsbourg,5:55,Alternative,5,Spotify,0eeeyCAGnGZInPtpkdYiPa
25,US,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Hip-Hop/Rap,1,Spotify,285pBltuF7vW8TeWk8hdRR
26,US,Bandit (with YoungBoy Never Broke Again),Juice WRLD & YoungBoy Never Broke Again,Bandit - Single,Hip-Hop/Rap,2,Spotify,6Gg1gjgKi2AK4e0qzsR7sd
27,US,Robbery,Juice WRLD,Death Race for Love,Hip-Hop/Rap,3,Spotify,6Hj9jySrnFppAI0sEMCZpJ
28,US,Legends,Juice WRLD,Legends - Single,Hip-Hop/Rap,4,Spotify,1Knctxx9vGZxpZfF66BIEa
